Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,AgeatFirstBirth,DietBreadth,GestationLen,HabitatBreadth,HomeRange,LitterSize,LittersPerYear,MaxLongevity,NeonateBodyMass,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel
Carnivora,Canidae,Canis,adustus,Canis adustus,nocturnal,10392.49,NA,6,65,1,1.01,4.5,NA,137,NA,0.74,249.88,ground dwelling,omnivore
Carnivora,Canidae,Canis,aureus,Canis aureus,both,9658.7,NA,6,61.24,1,2.95,3.74,NA,192,211.82,0.22,371.23,ground dwelling,omnivore
Carnivora,Canidae,Canis,latrans,Canis latrans,both,11989.1,365,1,61.74,1,18.88,5.72,NA,262,200.01,0.25,372.9,ground dwelling,carnivore
Carnivora,Canidae,Canis,lupus,Canis lupus,both,31756.51,547.5,1,63.5,1,159.86,4.98,2,354,412.31,0.01,679.37,ground dwelling,carnivore
Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,both,800143.05,NA,3,273.75,NA,NA,1.22,1,314.4,22977.05,0.54,610.97,NA,herbivore
Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,NA,5.00E+05,NA,2,273.75,NA,NA,1,1,267,NA,NA,755.15,NA,herbivore
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,both,635974.34,912.5,2,296.78,1,NA,1.22,1,318.96,NA,0.75,797.31,ground dwelling,herbivore
Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,diurnal,1117.02,NA,NA,129.25,1,NA,1.01,NA,NA,73.6,4.89,NA,above ground,NA
Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,diurnal,897.67,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,diurnal,1067.61,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
